Size (nt),A1: RNA23_PU_TP1,A2: RNA23_PU_TP2,A3: RNA23_PU_TP3,A4: RNA23_PU_TP4,A5: RNA61_PU_TP1,A6: RNA61_PU_TP2,A7: RNA61_PU_TP3,A8: RNA61_PU_TP4,B5: RNA57_PU_TP1,B6: RNA57_PU_TP2,B7: RNA57_PU_TP3,B8: RNA57_PU_TP4,B9: RNA78_PU_TP1,B10: RNA78_PU_TP2,B11: RNA78_PU_TP3,B12: RNA78_PU_TP4,C1: RNA21_PU_TP1,C2: RNA21_PU_TP2,C3: RNA21_PU_TP3,C4: RNA21_PU_TP4,C5: RNA54_PU_TP1,C6: RNA54_PU_TP2,C7: RNA54_PU_TP3,C8: RNA54_PU_TP4,C9: RNA85_PU_TP1,C10: RNA85_PU_TP2,C11: RNA85_PU_TP3,C12: RNA85_PU_TP4,D5: RNA53_PU_TP1,D6: RNA53_PU_TP2,D7: RNA53_PU_TP3,D8: RNA53_PU_TP4,D9: RNA91_PU_TP1,D10: RNA91_PU_TP2,D11: RNA91_PU_TP3,D12: RNA91_PU_TP4
0.77,4.9,8.18,7.58,4.97,3.91,4.15,5.29,6.67,5.23,4.4,3.92,4,6.91,1.43,3.91,4.04,6.55,4.64,10.83,4.29,3.6,2.98,4.97,4.98,7.48,4.94,3.96,2.79,3.65,5.76,3.7,5.12,3.71,4.12,1.87,4.01
1.3,5.82,9.45,9.54,7.51,5.51,5.54,7.61,9.28,7.54,5.72,5.83,6.16,8.71,3.8,5.39,6.03,6.05,5.06,12.37,7.06,5.77,5.58,6.76,6.7,10.43,7.02,7.07,4.39,4.99,6.7,5.54,6.16,3.94,5.53,4.3,5.59
1.82,7.05,10.33,10.82,9.66,6.82,7.15,9.46,11.98,9.93,7.01,7.37,7.67,10.09,6.22,7.03,8.03,5.56,5.08,12.76,9.27,8.47,7.72,8.62,8.74,12.32,8.28,9.31,5.86,6.3,7.49,7.55,6.96,4.11,6.9,6.83,6.68
2.35,8.48,10.66,11.14,10.86,7.71,8.35,10.65,14.65,11.98,8.13,8.38,8.42,10.51,7.91,8.24,10.03,5.48,4.93,12.25,10.54,10.89,8.64,10.07,10.64,12.47,8.31,10.09,7.25,7.54,8.03,9.15,7.61,4.57,7.93,8.62,6.8
2.88,9.65,10.46,10.62,10.84,8.04,8.73,11.17,16.97,13.2,8.85,8.92,8.74,9.83,8.54,8.54,11.82,5.91,4.8,11.36,10.86,12.39,8.29,10.75,11.79,11.06,7.28,9.5,8.44,8.47,8.23,9.77,8.25,5.47,8.62,8.96,5.91
3.4,10.09,10.08,9.68,9.85,7.79,8.37,11.16,18.52,13.34,8.96,9.15,9.08,8.44,8.39,7.88,13.02,6.6,4.68,10.57,10.49,12.82,7.29,10.7,11.86,8.97,5.82,8.23,9.26,8.6,8.15,9.25,8.91,6.54,9.22,7.73,4.48
3.93,9.75,10.08,8.82,8.5,7.13,7.8,10.8,19.09,12.53,8.44,9.2,9.6,7.06,8.01,6.68,13.36,7.14,4.58,10.12,9.76,12.49,6.42,10.32,11.01,7.28,4.67,7.14,9.64,7.61,8.05,7.94,9.47,7.18,9.89,5.62,3.3
4.46,9.12,10.96,8.53,7.5,6.5,7.72,10.37,18.89,11.28,7.64,9.15,10.18,6.42,7.92,5.66,12.94,7.32,4.59,10.14,9.11,11.94,6.19,10.22,9.88,6.71,4.28,6.83,9.78,5.73,8.31,6.62,9.76,6.96,10.45,3.83,3.06
4.99,9.05,12.94,9.12,7.37,6.4,8.53,10.16,18.54,10.24,7.16,9.15,10.67,6.95,8.34,5.53,12.26,7.42,4.98,10.71,8.98,11.64,6.66,10.93,9.36,7.38,4.73,7.48,10.15,3.83,9.15,6.08,9.74,6.05,10.54,3.36,3.98
5.51,10.23,15.95,10.71,8.31,7.22,10.18,10.52,18.68,10.04,7.54,9.45,11.15,8.68,9.3,6.73,11.96,8.03,6.05,11.89,9.66,11.83,7.62,12.7,10.06,8.94,5.91,8.87,11.3,3.02,10.39,6.73,9.55,5.16,10.04,4.51,5.72
